%time,field.joint1,field.joint2,field.joint3,field.joint4,field.joint5,field.joint6
1407436107746377202,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746413092,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746456089,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746491232,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746560284,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746598093,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746648905,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746707843,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746765856,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746820276,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746875739,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746943449,10.0,0.0,0.0,0.0,0.0,0.0
1407436107746999537,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747053517,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747109168,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747164229,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747219255,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747274127,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747330962,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747385026,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747439449,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747494885,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747551206,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747605046,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747660925,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747715741,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747769995,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747824404,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747881436,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747934656,10.0,0.0,0.0,0.0,0.0,0.0
1407436107747989135,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748043804,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748100879,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748153791,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748209514,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748306556,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748347045,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748386412,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748428256,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748466725,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748505986,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748573461,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748613778,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748649687,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748689349,10.0,0.0,0.0,0.0,0.0,0.0
1407436107748730197,10.0,0.0,0.0,0.0,0.0,0.0
